"REF_DATE","GEO","DGUID","Seasonal adjustment","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1998-07","Canada","2016A000011124","Seasonally adjusted at annual rates","Compensation of employees","Dollars","81","millions","6","v62305952","1.1.1","482644","","","","0"
"1998-10","Canada","2016A000011124","Seasonally adjusted at annual rates","Compensation of employees","Dollars","81","millions","6","v62305952","1.1.1","490048","","","","0"
"1999-01","Canada","2016A000011124","Seasonally adjusted at annual rates","Compensation of employees","Dollars","81","millions","6","v62305952","1.1.1","493660","","","","0"
"1999-04","Canada","2016A000011124","Seasonally adjusted at annual rates","Compensation of employees","Dollars","81","millions","6","v62305952","1.1.1","501928","","","","0"
"1999-07","Canada","2016A000011124","Seasonally adjusted at annual rates","Compensation of employees","Dollars","81","millions","6","v62305952","1.1.1","510664","","","","0"
"1999-10","Canada","2016A000011124","Seasonally adjusted at annual rates","Compensation of employees","Dollars","81","millions","6","v62305952","1.1.1","521016","","","","0"
"2000-01","Canada","2016A000011124","Seasonally adjusted at annual rates","Compensation of employees","Dollars","81","millions","6","v62305952","1.1.1","533368","","","","0"
"2000-04","Canada","2016A000011124","Seasonally adjusted at annual rates","Compensation of employees","Dollars","81","millions","6","v62305952","1.1.1","550308","","","","0"
"2000-07","Canada","2016A000011124","Seasonally adjusted at annual rates","Compensation of employees","Dollars","81","millions","6","v62305952","1.1.1","558168","","","","0"
"2000-10","Canada","2016A000011124","Seasonally adjusted at annual rates","Compensation of employees","Dollars","81","millions","6","v62305952","1.1.1","563992","","","","0"
"2001-01","Canada","2016A000011124","Seasonally adjusted at annual rates","Compensation of employees","Dollars","81","millions","6","v62305952","1.1.1","570140","","","","0"
"2001-04","Canada","2016A000011124","Seasonally adjusted at annual rates","Compensation of employees","Dollars","81","millions","6","v62305952","1.1.1","572916","","","","0"
"2001-07","Canada","2016A000011124","Seasonally adjusted at annual rates","Compensation of employees","Dollars","81","millions","6","v62305952","1.1.1","575092","","","","0"
"2001-10","Canada","2016A000011124","Seasonally adjusted at annual rates","Compensation of employees","Dollars","81","millions","6","v62305952","1.1.1","578964","","","","0"
"2002-01","Canada","2016A000011124","Seasonally adjusted at annual rates","Compensation of employees","Dollars","81","millions","6","v62305952","1.1.1","586108","","","","0"
"2002-04","Canada","2016A000011124","Seasonally adjusted at annual rates","Compensation of employees","Dollars","81","millions","6","v62305952","1.1.1","592032","","","","0"
"2002-07","Canada","2016A000011124","Seasonally adjusted at annual rates","Compensation of employees","Dollars","81","millions","6","v62305952","1.1.1","599780","","","","0"
"2002-10","Canada","2016A000011124","Seasonally adjusted at annual rates","Compensation of employees","Dollars","81","millions","6","v62305952","1.1.1","609212","","","","0"
"2003-01","Canada","2016A000011124","Seasonally adjusted at annual rates","Compensation of employees","Dollars","81","millions","6","v62305952","1.1.1","613824","","","","0"
"2003-04","Canada","2016A000011124","Seasonally adjusted at annual rates","Compensation of employees","Dollars","81","millions","6","v62305952","1.1.1","615924","","","","0"
"2003-07","Canada","2016A000011124","Seasonally adjusted at annual rates","Compensation of employees","Dollars","81","millions","6","v62305952","1.1.1","621740","","","","0"
"2003-10","Canada","2016A000011124","Seasonally adjusted at annual rates","Compensation of employees","Dollars","81","millions","6","v62305952","1.1.1","630912","","","","0"
"2004-01","Canada","2016A000011124","Seasonally adjusted at annual rates","Compensation of employees","Dollars","81","millions","6","v62305952","1.1.1","641972","","","","0"
"2004-04","Canada","2016A000011124","Seasonally adjusted at annual rates","Compensation of employees","Dollars","81","millions","6","v62305952","1.1.1","653456","","","","0"
"2004-07","Canada","2016A000011124","Seasonally adjusted at annual rates","Compensation of employees","Dollars","81","millions","6","v62305952","1.1.1","661952","","","","0"
"2004-10","Canada","2016A000011124","Seasonally adjusted at annual rates","Compensation of employees","Dollars","81","millions","6","v62305952","1.1.1","667240","","","","0"
"2005-01","Canada","2016A000011124","Seasonally adjusted at annual rates","Compensation of employees","Dollars","81","millions","6","v62305952","1.1.1","675680","","","","0"
"2005-04","Canada","2016A000011124","Seasonally adjusted at annual rates","Compensation of employees","Dollars","81","millions","6","v62305952","1.1.1","686756","","","","0"
"2005-07","Canada","2016A000011124","Seasonally adjusted at annual rates","Compensation of employees","Dollars","81","millions","6","v62305952","1.1.1","698516","","","","0"
"2005-10","Canada","2016A000011124","Seasonally adjusted at annual rates","Compensation of employees","Dollars","81","millions","6","v62305952","1.1.1","709480","","","","0"
"2006-01","Canada","2016A000011124","Seasonally adjusted at annual rates","Compensation of employees","Dollars","81","millions","6","v62305952","1.1.1","719292","","","","0"
"2006-04","Canada","2016A000011124","Seasonally adjusted at annual rates","Compensation of employees","Dollars","81","millions","6","v62305952","1.1.1","732208","","","","0"
"2006-07","Canada","2016A000011124","Seasonally adjusted at annual rates","Compensation of employees","Dollars","81","millions","6","v62305952","1.1.1","743484","","","","0"
"2006-10","Canada","2016A000011124","Seasonally adjusted at annual rates","Compensation of employees","Dollars","81","millions","6","v62305952","1.1.1","754300","","","","0"
"2007-01","Canada","2016A000011124","Seasonally adjusted at annual rates","Compensation of employees","Dollars","81","millions","6","v62305952","1.1.1","768088","","","","0"
"2007-04","Canada","2016A000011124","Seasonally adjusted at annual rates","Compensation of employees","Dollars","81","millions","6","v62305952","1.1.1","780652","","","","0"
