REF_DATE,GEO,DGUID,North American Industry Classification System (NAICS),Canadian and foreign direct investment,Countries or regions,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2013,Canada,2016A000011124,Mining and oil and gas extraction [21],Canadian direct investment abroad - total book value,"Total, all countries",Dollars,81,millions,6,v41661160,1.15.1.1,160765,,,,0
2014,Canada,2016A000011124,Mining and oil and gas extraction [21],Canadian direct investment abroad - total book value,"Total, all countries",Dollars,81,millions,6,v41661160,1.15.1.1,173743,,,,0
2015,Canada,2016A000011124,Mining and oil and gas extraction [21],Canadian direct investment abroad - total book value,"Total, all countries",Dollars,81,millions,6,v41661160,1.15.1.1,188121,,,,0
2016,Canada,2016A000011124,Mining and oil and gas extraction [21],Canadian direct investment abroad - total book value,"Total, all countries",Dollars,81,millions,6,v41661160,1.15.1.1,187331,,,,0
2017,Canada,2016A000011124,Mining and oil and gas extraction [21],Canadian direct investment abroad - total book value,"Total, all countries",Dollars,81,millions,6,v41661160,1.15.1.1,181319,,,,0
2018,Canada,2016A000011124,Mining and oil and gas extraction [21],Canadian direct investment abroad - total book value,"Total, all countries",Dollars,81,millions,6,v41661160,1.15.1.1,168655,,,,0
2019,Canada,2016A000011124,Mining and oil and gas extraction [21],Canadian direct investment abroad - total book value,"Total, all countries",Dollars,81,millions,6,v41661160,1.15.1.1,197784,,,,0
2020,Canada,2016A000011124,Mining and oil and gas extraction [21],Canadian direct investment abroad - total book value,"Total, all countries",Dollars,81,millions,6,v41661160,1.15.1.1,201864,,,,0
2021,Canada,2016A000011124,Mining and oil and gas extraction [21],Canadian direct investment abroad - total book value,"Total, all countries",Dollars,81,millions,6,v41661160,1.15.1.1,190384,,,,0
2022,Canada,2016A000011124,Mining and oil and gas extraction [21],Canadian direct investment abroad - total book value,"Total, all countries",Dollars,81,millions,6,v41661160,1.15.1.1,220448,,,,0
2023,Canada,2016A000011124,Mining and oil and gas extraction [21],Canadian direct investment abroad - total book value,"Total, all countries",Dollars,81,millions,6,v41661160,1.15.1.1,240699,,,,0
1999,Canada,2016A000011124,Mining and oil and gas extraction [21],Foreign direct investment in Canada - total book value,"Total, all countries",Dollars,81,millions,6,v41661166,1.15.2.1,24320,,,,0
2000,Canada,2016A000011124,Mining and oil and gas extraction [21],Foreign direct investment in Canada - total book value,"Total, all countries",Dollars,81,millions,6,v41661166,1.15.2.1,32657,,,,0
2001,Canada,2016A000011124,Mining and oil and gas extraction [21],Foreign direct investment in Canada - total book value,"Total, all countries",Dollars,81,millions,6,v41661166,1.15.2.1,46153,,,,0
2002,Canada,2016A000011124,Mining and oil and gas extraction [21],Foreign direct investment in Canada - total book value,"Total, all countries",Dollars,81,millions,6,v41661166,1.15.2.1,48010,,,,0
2003,Canada,2016A000011124,Mining and oil and gas extraction [21],Foreign direct investment in Canada - total book value,"Total, all countries",Dollars,81,millions,6,v41661166,1.15.2.1,46951,,,,0
2004,Canada,2016A000011124,Mining and oil and gas extraction [21],Foreign direct investment in Canada - total book value,"Total, all countries",Dollars,81,millions,6,v41661166,1.15.2.1,51673,,,,0
2005,Canada,2016A000011124,Mining and oil and gas extraction [21],Foreign direct investment in Canada - total book value,"Total, all countries",Dollars,81,millions,6,v41661166,1.15.2.1,64525,,,,0
2006,Canada,2016A000011124,Mining and oil and gas extraction [21],Foreign direct investment in Canada - total book value,"Total, all countries",Dollars,81,millions,6,v41661166,1.15.2.1,78904,,,,0
2007,Canada,2016A000011124,Mining and oil and gas extraction [21],Foreign direct investment in Canada - total book value,"Total, all countries",Dollars,81,millions,6,v41661166,1.15.2.1,97785,,,,0
2008,Canada,2016A000011124,Mining and oil and gas extraction [21],Foreign direct investment in Canada - total book value,"Total, all countries",Dollars,81,millions,6,v41661166,1.15.2.1,95448,,,,0
2009,Canada,2016A000011124,Mining and oil and gas extraction [21],Foreign direct investment in Canada - total book value,"Total, all countries",Dollars,81,millions,6,v41661166,1.15.2.1,93634,,,,0
2010,Canada,2016A000011124,Mining and oil and gas extraction [21],Foreign direct investment in Canada - total book value,"Total, all countries",Dollars,81,millions,6,v41661166,1.15.2.1,111955,,,,0
2011,Canada,2016A000011124,Mining and oil and gas extraction [21],Foreign direct investment in Canada - total book value,"Total, all countries",Dollars,81,millions,6,v41661166,1.15.2.1,118214,,,,0
2012,Canada,2016A000011124,Mining and oil and gas extraction [21],Foreign direct investment in Canada - total book value,"Total, all countries",Dollars,81,millions,6,v41661166,1.15.2.1,116872,,,,0
2013,Canada,2016A000011124,Mining and oil and gas extraction [21],Foreign direct investment in Canada - total book value,"Total, all countries",Dollars,81,millions,6,v41661166,1.15.2.1,147487,,,,0
2014,Canada,2016A000011124,Mining and oil and gas extraction [21],Foreign direct investment in Canada - total book value,"Total, all countries",Dollars,81,millions,6,v41661166,1.15.2.1,174142,,,,0
2015,Canada,2016A000011124,Mining and oil and gas extraction [21],Foreign direct investment in Canada - total book value,"Total, all countries",Dollars,81,millions,6,v41661166,1.15.2.1,168807,,,,0
2016,Canada,2016A000011124,Mining and oil and gas extraction [21],Foreign direct investment in Canada - total book value,"Total, all countries",Dollars,81,millions,6,v41661166,1.15.2.1,172932,,,,0
2017,Canada,2016A000011124,Mining and oil and gas extraction [21],Foreign direct investment in Canada - total book value,"Total, all countries",Dollars,81,millions,6,v41661166,1.15.2.1,172745,,,,0
2018,Canada,2016A000011124,Mining and oil and gas extraction [21],Foreign direct investment in Canada - total book value,"Total, all countries",Dollars,81,millions,6,v41661166,1.15.2.1,177034,,,,0
2019,Canada,2016A000011124,Mining and oil and gas extraction [21],Foreign direct investment in Canada - total book value,"Total, all countries",Dollars,81,millions,6,v41661166,1.15.2.1,159083,,,,0
2020,Canada,2016A000011124,Mining and oil and gas extraction [21],Foreign direct investment in Canada - total book value,"Total, all countries",Dollars,81,millions,6,v41661166,1.15.2.1,109671,,,,0
2021,Canada,2016A000011124,Mining and oil and gas extraction [21],Foreign direct investment in Canada - total book value,"Total, all countries",Dollars,81,millions,6,v41661166,1.15.2.1,137000,,,,0
2022,Canada,2016A000011124,Mining and oil and gas extraction [21],Foreign direct investment in Canada - total book value,"Total, all countries",Dollars,81,millions,6,v41661166,1.15.2.1,152106,,,,0
